N	S	F
1696	-459.000000	2977.076922
1644	2127.000000	2981.809350
1778	4414.000000	2990.491598
1688	5745.000000	2995.910713
1685	5100.000000	2995.933244
1684	4257.000000	2995.156590
1763	2154.000000	2998.786755
1714	-696.000000	3007.433790
1722	-3237.000000	3018.348389
1803	-4352.000000	3024.893387
1814	-5313.000000	3030.834044
1690	-4629.000000	3034.051252
1838	-2901.000000	3030.189598
1751	-1002.000000	3027.009415
1718	263.000000	3026.931945
1761	1420.000000	3028.543875
1758	1015.000000	3035.955698
1747	363.000000	3038.751224
1857	-190.000000	3037.995721
1696	-334.000000	3040.037171
1763	330.000000	3045.118717
1816	2978.000000	3049.931803
1828	5707.000000	3053.103175
1705	8207.000000	3053.122500
1722	10031.000000	3052.256706
1816	10041.000000	3056.855738
1755	7253.000000	3068.402027
1804	3365.000000	3082.976322
1858	-1018.000000	3102.743947
1846	-4995.000000	3123.985435
1984	-7282.000000	3138.936126
1907	-7063.000000	3145.668291
1910	-5512.000000	3144.051844
1874	-3260.000000	3141.756515
1873	-918.000000	3147.604804
1952	651.000000	3157.851643
1907	1097.000000	3173.547069
1909	1216.000000	3188.132682
2004	1383.000000	3195.758595
1968	1368.000000	3199.859684
1927	1411.000000	3197.270242
1977	1334.000000	3196.402353
1908	921.000000	3205.725659
2018	163.000000	3222.453568
2025	-307.000000	3241.512456
2027	-132.000000	3254.686160
2063	987.000000	3256.426416
2008	2742.000000	3255.400436
2001	5119.000000	3258.603228
2042	8012.000000	3271.702615
2051	10847.000000	3295.957372
2075	13597.000000	3322.363466
2126	16471.000000	3342.856413
2137	19124.000000	3357.384994
2112	20729.000000	3373.731614
2112	21616.000000	3401.400006
2244	21554.000000	3445.043686
2294	20573.000000	3497.409756
2401	18792.000000	3550.165067
2409	16968.000000	3595.691589
2531	14632.000000	3637.456529
2548	11663.000000	3683.169966
2632	7631.000000	3736.493945
2768	2905.000000	3798.568809
2843	-2715.000000	3862.680287
3010	-8702.000000	3920.961107
3042	-14884.000000	3970.217374
3117	-20637.000000	4009.537505
3243	-26603.000000	4045.920291
3179	-32738.000000	4083.407156
3389	-38962.000000	4117.954589
3389	-44652.000000	4143.764955
3462	-49396.000000	4157.970659
3431	-51868.000000	4160.259367
3406	-50810.000000	4158.332358
3446	-45942.000000	4148.240350
3387	-36740.000000	4129.171830
3288	-23788.000000	4099.278229
3161	-7500.000000	4061.773258
3095	10209.000000	4029.827912
2941	29258.000000	4002.919934
3049	47217.000000	3983.218673
2747	64110.000000	3967.141288
2898	78719.000000	3961.117898
2725	91876.000000	3971.992195
2874	102125.000000	4008.571691
2883	111649.000000	4067.677101
3046	119639.000000	4147.242096
3159	125858.000000	4242.745573
3269	128582.000000	4351.785381
3570	128253.000000	4476.162531
3811	121814.000000	4622.517063
4017	108501.000000	4791.376316
4537	88826.000000	4976.527303
4976	64328.000000	5165.411310
5511	34468.000000	5351.855753
5713	1276.000000	5534.374581
6300	-33989.000000	5708.741280
6892	-71857.000000	5872.602915
7134	-113536.000000	6019.041452
7612	-157408.000000	6143.142193
7869	-201964.000000	6248.543830
8286	-244660.000000	6334.289226
8587	-281142.000000	6394.664495
8582	-305468.000000	6420.188627
8760	-314312.000000	6401.168956
8420	-305733.000000	6339.719789
8147	-280031.000000	6238.912966
7747	-239329.000000	6100.224340
7180	-188349.000000	5931.653479
6606	-131141.000000	5735.414806
5986	-71924.000000	5519.351955
5345	-13574.000000	5288.226357
4803	40937.000000	5038.605660
4163	89328.000000	4772.736951
3507	129202.000000	4496.753273
